Time,Latitude,Longitude,Depth_Km,Magnitude
2016-08-24 11:41:15.160,42.8212,13.1668,9.9,2.9
2016-08-24 11:43:48.020,42.6618,13.2958,9.0,3.1
2016-08-24 11:45:54.890,42.6097,13.2858,14.4,2.5
2016-08-24 11:48:27.910,42.6102,13.2018,15.2,2.2
2016-08-24 11:49:58.010,42.6372,13.2422,10.8,2.2
2016-08-24 11:53:17.670,42.7807,13.1998,10.8,2.3
2016-08-24 11:56:05.600,42.8167,13.1812,5.7,2.2
2016-08-24 12:00:40.590,42.7102,13.2357,4.2,2.4
2016-08-24 12:01:27.700,42.7925,13.2128,9.7,2.3
2016-08-24 12:06:41.570,42.7437,13.1793,10.5,3.2
2016-08-24 12:09:26.410,42.6535,13.3092,15.8,3.1
2016-08-24 12:11:19.460,42.7883,13.18,7.1,2.2
2016-08-24 12:15:10.770,42.716,13.219000000000001,9.6,3.0
2016-08-24 12:19:15.420,42.7392,13.235999999999999,8.0,2.5
2016-08-24 12:22:43.340,42.7562,13.1177,8.2,2.8
2016-08-24 12:28:58.980,42.7567,13.119000000000002,6.0,2.7
2016-08-24 12:32:42.740,42.603,13.2325,11.0,3.0
2016-08-24 12:36:45.320,42.7198,13.2137,15.1,2.2
2016-08-24 12:41:16.710,42.7523,13.1072,7.1,2.1
2016-08-24 12:42:41.910,42.8175,13.1602,9.9,2.1
2016-08-24 12:44:48.140,42.7423,13.2328,15.9,2.7
2016-08-24 12:52:34.210,42.8225,13.2377,7.1,2.8
2016-08-24 12:57:16.530,42.6238,13.2363,11.1,2.3
2016-08-24 13:05:42.530,42.6432,13.2282,2.4,2.8
2016-08-24 13:06:48.400,42.8067,13.1563,10.4,2.3
2016-08-24 13:09:51.910,42.8257,13.2152,9.3,2.1
2016-08-24 13:12:57.990,42.7135,13.1822,15.6,2.0
2016-08-24 13:20:32.230,42.7632,13.2063,16.6,2.0
2016-08-24 13:23:58.370,42.7652,13.1663,10.2,2.7
2016-08-24 13:24:50.570,42.6443,13.2522,11.8,2.3
2016-08-24 13:28:52.530,42.7477,13.2557,10.9,2.5
2016-08-24 13:31:53.370,42.7458,13.1927,10.9,3.1
2016-08-24 13:34:20.870,42.7387,13.1668,11.0,2.3
2016-08-24 13:36:26.720,42.8203,13.1613,9.8,2.7
2016-08-24 13:37:40.420,42.8063,13.2233,9.1,2.7
2016-08-24 13:40:15.750,42.7358,13.1957,10.4,2.9
2016-08-24 13:50:30.560,42.8197,13.1602,9.8,4.5
2016-08-24 13:59:59.840,42.8332,13.1435,10.2,3.5
2016-08-24 14:01:48.380,42.8243,13.1705,8.8,3.0
2016-08-24 14:06:09.350,42.8347,13.1507,10.3,3.6
2016-08-24 14:13:27.040,42.8282,13.1538,9.7,2.9
